blockgroup_id,total_pop,white_pop,black_pop,hispanic_pop,median_household_income,poverty_rate,total_arrests,unique_individuals,discretionary_arrests,discretionary_per_1000,total_per_1000,unique_per_1000,cumulative_pop,cumulative_pop_pct,policing_category
450150207222,856,747,36,15,163092.0,,117,28,66,77.10280373831775,136.6822429906542,32.71028037383177,134312,32.46274248202987,Normally Policed
450150207191,2301,1316,615,220,58631.0,,395,146,177,76.92307692307693,171.66449369839202,63.45067362016514,136613,33.01888616577481,Normally Policed
450150207141,1446,513,747,115,95368.0,,354,106,111,76.76348547717843,244.81327800829874,73.30567081604427,138059,33.36837932818037,Normally Policed
450190022001,1096,574,482,205,54301.0,,227,73,84,76.64233576642336,207.1167883211679,66.6058394160584,139155,33.633278709920674,Normally Policed
450190029001,1403,1289,0,6,74552.0,,279,71,106,75.55238774055594,198.85958660014256,50.60584461867427,140558,33.97237892213021,Normally Policed
450190001001,641,447,182,19,59076.0,,120,43,47,73.32293291731669,187.20748829953197,67.08268330733229,141199,34.12730638900571,Normally Policed
450190031062,1225,453,398,286,34325.0,,241,89,89,72.65306122448979,196.73469387755102,72.65306122448979,142424,34.423384621334066,Normally Policed
450190031092,2923,1471,1279,96,89196.0,,628,158,209,71.5018816284639,214.84775915155663,54.054054054054056,145347,35.129863538146964,Normally Policed
450190015002,624,418,190,0,120083.0,,139,51,43,68.91025641025641,222.75641025641028,81.73076923076923,145971,35.28068216424728,Normally Policed
450190020022,1615,1405,53,0,120809.0,,257,95,111,68.73065015479877,159.13312693498452,58.8235294117647,147586,35.67102203788834,Normally Policed
450150208062,1314,735,386,236,59423.0,,233,79,88,66.9710806697108,177.32115677321156,60.12176560121765,148900,35.98861126015729,Normally Policed
450190031101,2580,842,1395,609,53775.0,,462,168,171,66.27906976744185,179.06976744186045,65.11627906976744,151480,36.61218827191825,Normally Policed
450150207231,2634,1849,510,262,67292.0,,431,116,172,65.29992406985573,163.6294608959757,44.039483675018985,154114,37.24881689555327,Normally Policed
450190036002,1535,855,443,172,88750.0,,285,109,100,65.14657980456026,185.66775244299674,71.00977198697069,155649,37.619821047899414,Normally Policed
450190002001,575,569,0,0,144643.0,,51,20,37,64.34782608695652,88.69565217391303,34.78260869565217,156224,37.758796544706605,Normally Policed
450190054002,2075,507,1536,20,36417.0,,444,148,131,63.132530120481924,213.97590361445785,71.32530120481928,158299,38.260316815793416,Normally Policed
450150203012,2556,2235,33,64,69194.0,,399,88,161,62.98904538341157,156.10328638497654,34.42879499217527,160855,38.878093111165896,Normally Policed
450190026051,2003,1218,503,223,75238.0,,291,99,126,62.905641537693455,145.282076884673,49.42586120818772,162858,39.36221123308729,Normally Policed
450150207143,1832,1417,382,56,74219.0,,374,84,115,62.77292576419213,204.14847161572052,45.851528384279476,164690,39.8049992507408,Normally Policed
450190020021,1913,1532,198,47,86574.0,,214,88,120,62.72869837950862,111.86617877679038,46.001045478306324,166603,40.26736468620541,Normally Policed
450190031071,1065,306,589,0,75195.0,,235,90,65,61.032863849765256,220.65727699530515,84.50704225352112,167668,40.52477147594394,Normally Policed
450150209031,1312,1107,147,20,52165.0,,285,122,79,60.21341463414634,217.22560975609755,92.98780487804878,168980,40.841877305180525,Normally Policed
450150207101,2466,1833,171,39,47813.0,,335,73,148,60.01622060016221,135.84752635847528,29.602595296025953,171446,41.437900914096225,Normally Policed
450150208112,1423,268,802,353,40848.0,,125,24,85,59.732958538299364,87.84258608573437,16.865776528460998,172869,41.7818350566295,Normally Policed
450190020023,1253,942,179,109,86042.0,,162,63,74,59.05826017557861,129.28970470869913,50.27932960893855,174122,42.084680791411074,Normally Policed
450150207192,2555,2025,242,184,81128.0,,299,49,150,58.70841487279843,117.02544031311155,19.178082191780824,176677,42.70221539026737,Normally Policed
450150209032,1443,1364,10,55,76818.0,,294,67,84,58.21205821205822,203.74220374220374,46.43104643104643,178120,43.05098346312437,Normally Policed
