blockgroup_id,total_arrests,discretionary_arrests,unique_individuals,estimated_pop,discretionary_per_1000,total_per_1000,cumulative_pop,cumulative_pop_pct,kmeans_cluster,policing_category
450310107002,3,2,1,50,40.0,60.0,183350,7.150936037441498,1,Highly Policed
450559708003,6,2,1,50,40.0,120.0,183400,7.152886115444618,1,Highly Policed
450030202001,4,2,1,50,40.0,80.0,183450,7.154836193447737,1,Highly Policed
450259501022,9,2,1,50,40.0,180.0,183500,7.1567862714508585,1,Highly Policed
450899709002,5,4,2,100,40.0,50.0,183600,7.160686427457098,1,Highly Policed
450570103003,3,2,1,50,40.0,60.0,183650,7.162636505460219,1,Highly Policed
450450033014,2,2,1,50,40.0,40.0,183700,7.164586583463338,1,Highly Policed
450510602091,5,4,2,100,40.0,50.0,183800,7.168486739469579,1,Highly Policed
450510601021,2,2,1,50,40.0,40.0,183850,7.170436817472699,1,Highly Policed
450619204001,4,2,1,50,40.0,80.0,183900,7.172386895475818,1,Highly Policed
450599205026,2,2,1,50,40.0,40.0,183950,7.1743369734789395,1,Highly Policed
450630203002,2,2,1,50,40.0,40.0,184000,7.17628705148206,1,Highly Policed
450130011023,2,2,1,50,40.0,40.0,184050,7.178237129485179,1,Highly Policed
450719502025,6,2,1,50,40.0,120.0,184100,7.1801872074882995,1,Highly Policed
450850007001,5,4,2,100,40.0,50.0,184200,7.18408736349454,1,Highly Policed
450630214042,4,2,1,50,40.0,80.0,184250,7.1860374414976596,1,Highly Policed
450630206042,2,2,1,50,40.0,40.0,184300,7.18798751950078,1,Highly Policed
450630210241,2,2,1,50,40.0,40.0,184350,7.189937597503899,1,Highly Policed
450850009011,4,2,1,50,40.0,80.0,184400,7.1918876755070205,1,Highly Policed
450479708002,3,2,1,50,40.0,60.0,184450,7.193837753510141,1,Highly Policed
450150203011,477,163,84,4200,38.80952380952381,113.57142857142857,188650,7.35764430577223,1,Highly Policed
450150204051,782,354,184,9200,38.47826086956522,85.0,197850,7.716458658346334,1,Highly Policed
450150204012,508,227,118,5900,38.474576271186436,86.10169491525424,203750,7.946567862714509,1,Highly Policed
