DefendantId,drug_count,drug_type,policing_category
0349cdf0bf95be8ab3c1a475,5,Distribution,Normally Policed
034b24387ec4c1fca5f4e6ad,3,Distribution,Highly Policed
034d5ead53698e6ceb1d5fb7,1,Possession,Normally Policed
0351c261c89e97be1d26ee5b,1,Possession,Normally Policed
035334d49f7f70d72e66d5d6,4,Distribution,Highly Policed
0358d640e5fb8cf6899708b9,1,Distribution,Normally Policed
035a6190038686faf35f4f1a,2,Distribution,Normally Policed
0360f2e3e384136d435720ee,1,Possession,Normally Policed
03640c2ca9c81ec52913d53f,2,Possession,Normally Policed
036773ab277e7677184ffa21,4,Distribution,Highly Policed
0368570961c018c59b9ed6dc,1,Distribution,Highly Policed
036945da4886623e6fe81518,2,Distribution,Normally Policed
0372a43e9e8889413a908375,1,Possession,Normally Policed
037502f6c0e242fb36136df9,1,Possession,Normally Policed
0379e73a4d2d7d30c5e41f59,3,Possession,Normally Policed
037fea62782b9db7d83f62f8,1,Possession,Highly Policed
0385a74fa6a3b48ebbd32e8f,1,Possession,Normally Policed
0389b68d17c72ec186872d2f,1,Possession,Normally Policed
038ca37f7a7d89076844ef55,3,Distribution,Highly Policed
038d6a95f263b59436162d1e,1,Distribution,Normally Policed
038de9f5b994ea9ca3ed66fb,1,Possession,Normally Policed
03904025f4c1881d03e82257,1,Possession,Normally Policed
039d733a660d22032332e98a,1,Possession,Highly Policed
03a2ee049641c8b1665be613,1,Possession,Normally Policed
03a68eb16e5484ac96f9b829,1,Distribution,Normally Policed
03af159ccad0d470cfc1e5c2,1,Distribution,Normally Policed
03b193677d159da93aa94f2c,1,Distribution,Normally Policed
03c0d54df912f249c93d3f48,1,Possession,Highly Policed
03c4fc4a754c6012327add32,4,Distribution,Normally Policed
03c5f64c5c56ca52fec66652,1,Distribution,Highly Policed
03c859b94110a93c7c34a3e0,2,Possession,Normally Policed
03c9053a4d50f148344c3081,1,Distribution,Normally Policed
03d12f7d03efa509b1b04739,1,Distribution,Normally Policed
03d48acfda58f52905965649,1,Possession,Highly Policed
03d7217f64714a63fa77d4df,3,Possession,Normally Policed
03df0a37e195b69556ea6ed3,1,Distribution,Normally Policed
03e02a052020a6be12e9b250,1,Possession,Normally Policed
03e05ee3154b5b2d80193f0a,1,Distribution,Normally Policed
03e95dbdd8bc3e765162ecd3,1,Distribution,Normally Policed
03f22da811e74bcd87b7d22b,2,Distribution,Normally Policed
03f3e73fdfebd70f44e4c154,3,Possession,Normally Policed
03f7e33d6197611be4265e00,1,Distribution,Normally Policed
03f82193caab200c1aa2bbeb,1,Possession,Normally Policed
03fe1b6390951a403f35f33f,1,Possession,Normally Policed
03fe525b0eb5ab3a05f0fc75,2,Distribution,Normally Policed
04014826639a76fee5097e0a,5,Distribution,Normally Policed
0403b2ee5f5c40c648e613ed,9,Distribution,Normally Policed
0405b3859c1b2b2074136f5b,3,Distribution,Normally Policed
0405bc9b8f67901e1dff4702,1,Distribution,Normally Policed
040f5624b92fda9dd7e44109,4,Possession,Normally Policed
0415205e9e17a2626c64e3bc,1,Distribution,Ultra-Policed
041ea254681b169c4b115049,12,Distribution,Normally Policed
04232143f8f0ff20a20fc34b,1,Possession,Normally Policed
04267f3a26f253848bec07c7,1,Distribution,Ultra-Policed
042c44f7ac45520a46a68707,1,Possession,Normally Policed
04303c26fdb1cc361f0bac67,1,Possession,Normally Policed
04344bd58ff558129e746e60,3,Possession,Normally Policed
043c926adec0c4116df38210,1,Distribution,Normally Policed
044cf4afdfe45d811cf8410e,2,Possession,Highly Policed
044eba955b62390e3f90e968,1,Distribution,Normally Policed
0454feef90d7baffada1d4e4,1,Possession,Normally Policed
04554af9d5eab7f044a5b516,2,Possession,Normally Policed
046b1bfe54ae8edc6715a9d9,2,Distribution,Normally Policed
046e46780c69508e6594bfad,1,Possession,Highly Policed
046f6b07dae3fe5eb6b31a3b,2,Distribution,Ultra-Policed
047a1dd31dfc8b4f8e11f730,2,Distribution,Highly Policed
0486acfed0ac4b0f9020f107,2,Possession,Normally Policed
0488bc57ccd13c280f530336,3,Possession,Normally Policed
0488fdd8dba4dce8b93782d2,3,Possession,Normally Policed
04892d57e495e56ed81b34c6,1,Possession,Normally Policed
048c7b6e6ed84e71ae27de97,1,Possession,Highly Policed
048ffb0b4c1e67613245f9c8,8,Distribution,Ultra-Policed
04902f6f707ea55995377560,2,Possession,Normally Policed
04906b82e43bb801245b32ca,1,Distribution,Normally Policed
0493f08fbac84dabf3040819,1,Distribution,Highly Policed
0494e58d806d34ab5f0d4467,1,Possession,Normally Policed
049a83a670683a3e3407d8bb,2,Possession,Normally Policed
049d2b00bb2157d7ba2eb28f,1,Distribution,Normally Policed
049e73098b68dca44e9341bb,5,Distribution,Normally Policed
04a67b94e6e290ff15a38696,6,Distribution,Normally Policed
04a77844372f6d821bffc024,1,Possession,Normally Policed
04ab7078605fb4e41f6d1049,3,Distribution,Highly Policed
04b88906e37168ba601db4a1,1,Possession,Normally Policed
04b98b256ba6500bb5dea520,1,Distribution,Normally Policed
04bc4d741260647900b6b4b4,10,Possession,Normally Policed
04c3ec0ce0af62fa8a0dbb01,2,Distribution,Normally Policed
04cade1ea2e4dccebfd0bb4c,1,Possession,Ultra-Policed
04e0dc8a47137b706e4eba8e,2,Distribution,Highly Policed
04e5bd04099ed0024dfd6cb0,1,Possession,Normally Policed
04eba9d1e698d5cfc8892199,1,Distribution,Ultra-Policed
04ef35a0bb6f79985397029e,1,Possession,Normally Policed
04f337fa8e396c610d1044ac,1,Distribution,Normally Policed
04f3ad7df2112b2ffbdbcf17,1,Possession,Highly Policed
0507ad2b8562043a32d9bdbf,1,Distribution,Normally Policed
0513367111a0cf5551ea5e1d,1,Possession,Normally Policed
0515fbe6131bab56bea59b06,1,Distribution,Normally Policed
051600b8ff7768463081c8ec,6,Distribution,Normally Policed
0516bfbc6ad128cae4be877c,1,Possession,Normally Policed
05190517d7076ac7b5a99437,2,Distribution,Normally Policed
0522b9ab79c39c20aeb08771,2,Possession,Normally Policed
05237de1a97a3543b9140783,6,Possession,Highly Policed
05245916c495d3331ea3880f,1,Distribution,Normally Policed
052bbb09c6a6c3be1c71ec47,2,Distribution,Normally Policed
053587a81a9eed6541bdac09,14,Distribution,Highly Policed
053d0caa4b10408f867d20e4,1,Distribution,Highly Policed
0546bbdbddf0212a61b6357d,2,Possession,Normally Policed
054ad6be52e8f34e6be063b9,3,Possession,Normally Policed
054b8c3c8b8968cbbe7690da,1,Possession,Normally Policed
054fb266e0a50d85fe249a30,1,Distribution,Ultra-Policed
055343f681daad378ad37d47,1,Possession,Normally Policed
05568ade9cd23905a174b9a8,1,Distribution,Normally Policed
05581b3d4c184eab2e627783,2,Distribution,Normally Policed
055b3fca04d47c20ce0a98b0,3,Distribution,Normally Policed
055ba5c0b808a62d877cd1c6,1,Possession,Normally Policed
055c21faf4dbfe7ad51cf11c,1,Possession,Normally Policed
055fbd0778bee46d062bc53b,1,Possession,Normally Policed
0560761e1d500169739abf01,1,Possession,Normally Policed
056cc19eeb970ff3a3641715,1,Possession,Normally Policed
0576ca3f2f934f7892293cc8,6,Distribution,Normally Policed
057ffdb4414b4b7eba5fbaf5,2,Distribution,Normally Policed
0582ebe2e408e3aad9f5b1fa,4,Possession,Normally Policed
0584b29ddb21fa6e7e02c492,2,Distribution,Highly Policed
058bdd0b12664d305506d51e,3,Possession,Normally Policed
059136c3e5d5b413810fde07,1,Distribution,Normally Policed
05973984fccd24892fcbe80c,1,Distribution,Normally Policed
0597f86c94ae732b69ed2dca,7,Possession,Ultra-Policed
059eea7789aa8e9c0aefe025,1,Distribution,Normally Policed
